Sl.No.	OriginalName	DescriptiveName
49	fBodyAccJerk-mean()-Y	meanFrequencyBasedBodyAccelerationJerkAlongYaxis
50	fBodyAccJerk-mean()-Z	meanFrequencyBasedBodyAccelerationJerkAlongZaxis
51	fBodyAccJerk-std()-X	standardDeviationOfFrequencyBasedBodyAccelerationJerkAlongXaxis
52	fBodyAccJerk-std()-Y	standardDeviationOfFrequencyBasedBodyAccelerationJerkAlongYaxis
53	fBodyAccJerk-std()-Z	standardDeviationOfFrequencyBasedBodyAccelerationJerkAlongZaxis
54	fBodyGyro-mean()-X	meanFrequencyBasedBodyGyroMeasureAlongXaxis
55	fBodyGyro-mean()-Y	meanFrequencyBasedBodyGyroMeasureAlongYaxis
56	fBodyGyro-mean()-Z	meanFrequencyBasedBodyGyroMeasureAlongZaxis
57	fBodyGyro-std()-X	standardDeviationOfFrequencyBasedBodyGyroMeasureAlongXaxis
58	fBodyGyro-std()-Y	standardDeviationOfFrequencyBasedBodyGyroMeasureAlongYaxis
59	fBodyGyro-std()-Z	standardDeviationOfFrequencyBasedBodyGyroMeasureAlongZaxis
60	fBodyAccMag-mean()	meanFrequencyBasedBodyAccelerationMagnitude
61	fBodyAccMag-std()	standardDeviationOfFrequencyBasedBodyAccelerationMagnitude
62	fBodyBodyAccJerkMag-mean()	meanFrequencyBasedBodyAccelerationJerkMagnitude
63	fBodyBodyAccJerkMag-std()	standardDeviationOfFrequencyBasedBodyAccelerationJerkMagnitude
64	fBodyBodyGyroMag-mean()	meanFrequencyBasedBodyGyroMagnitude
65	fBodyBodyGyroMag-std()	standardDeviationOfFrequencyBasedBodyGyroMagnitude
66	fBodyBodyGyroJerkMag-mean()	meanFrequencyBasedBodyGyroJerkMagnitude
67	fBodyBodyGyroJerkMag-std()	standardDeviationOfFrequencyBasedBodyGyroJerkMagnitude
68	activity	activity
